                                                                                           ,,,"Spring 2025 Final Exam Schedule
Updated April 30, 2025",,,,,
"Note: If you have a conflict, please speak to your instructors. All conflicts must be resolved between the instructors and the student.",,,,,,,,
"To filter data, click the drop-down arrow on the column you want to filter: 
- Use the search box to find specific values.
- Check or uncheck boxes next to the values you want to filter.
- Select ""Add current selection to filter"" to add to your class list.
If you can't find your class, try typing the first few letters, and it should show up in the filter selection.",,,,,,,,
,,,,,,,,
Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,ACCT 601 M02,Managerial Accounting,Akazi,"Thursday, May 15, 2025",5:45 PM,8:15 PM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ACCT 601 M03,Managerial Accounting,Ozelli,"Wednesday, May 14, 2025",3:00 PM,5:00 PM,"26 W. 61st St., Rm. 313",New York City
Spring 2025,ACCT 713 M01,Financial Statement Analysis,Agrawal,"Friday, May 16, 2025",5:45 PM,8:25 PM,Zoom,New York City
Spring 2025,AENG 420 W01,High Speed Flows & Shock Waves,Ioppolo,"Monday, May 12, 2025",3:00 PM,5:00 PM,"Anna Rubin Hall, Rm. 309",Long Island
Spring 2025,AENG 463 W01,Propulsion,Boldini,"Monday, May 12, 2025",5:45 PM,8:25 PM,"Anna Rubin Hall, Rm. 307",Long Island
Spring 2025,ARCH 161 M01,Global Hist of Architecture I,Veenendaal,"Tuesday, May 13, 2025",8:15 AM,10:15 AM,"26 W. 61st St., Rm. 408",New York City
Spring 2025,ARCH 161 M02,Global Hist of Architecture I,Melitonov,"Tuesday, May 13, 2025",8:15 AM,10:15 AM,"26 W. 61st St., Rm. 502",New York City
Spring 2025,ARCH 161 M03,Global Hist of Architecture I,Forlini,"Tuesday, May 13, 2025",8:15 AM,10:15 AM,"Guiliano Global Ctr., Rm. 409",New York City
Spring 2025,ARCH 161 M04,Global Hist of Architecture I,Veenendaal,"Thursday, May 15, 2025",12:45 PM,2:45 PM,"16 W. 61st St., Rm. 821",New York City
Spring 2025,ARCH 161 W01,Global Hist of Architecture I,Jung,"Tuesday, May 13, 2025",8:15 AM,10:15 AM,"Midge Karr, Rm. B11",Long Island
